age(Gyr),M/Msun,log L/Lsun,Teff(K),log g,R/Rsun
10,0.0015,-9.058,98,3.585,0.1034
10,0.002,-8.826,111,3.7,0.1046
10,0.0025,-8.644,123,3.791,0.1052
10,0.003,-8.492,134,3.868,0.1056
10,0.0035,-8.361,144,3.934,0.1057
10,0.004,-8.246,154,3.992,0.1056
10,0.0045,-8.143,164,4.045,0.1055
10,0.005,-8.049,173,4.092,0.1052
10,0.006,-7.883,191,4.177,0.1046
10,0.007,-7.737,208,4.25,0.1039
10,0.008,-7.61,225,4.314,0.1031
10,0.009,-7.497,241,4.372,0.1023
10,0.01,-7.397,256,4.425,0.1014
10,0.011,-7.305,271,4.473,0.1007
10,0.0115,-7.26,279,4.496,0.1003
10,0.012,-7.211,287,4.517,0.0999
10,0.0125,-7.172,295,4.538,0.0995
10,0.013,-7.143,300,4.559,0.0991
10,0.0135,-7.114,306,4.579,0.0987
10,0.014,-7.084,312,4.598,0.0983
10,0.0145,-7.053,318,4.617,0.0979
10,0.015,-7.022,324,4.635,0.0976
10,0.0155,-6.993,331,4.653,0.0972
10,0.016,-6.964,337,4.67,0.0968
10,0.0165,-6.937,343,4.686,0.0965
10,0.017,-6.91,349,4.702,0.0961
10,0.0175,-6.884,355,4.718,0.0958
10,0.018,-6.859,360,4.734,0.0954
10,0.0185,-6.834,366,4.748,0.0951
10,0.019,-6.81,372,4.763,0.0947
10,0.0195,-6.787,377,4.777,0.0944
10,0.02,-6.764,383,4.791,0.0941
10,0.022,-6.68,405,4.845,0.0928
10,0.024,-6.602,426,4.894,0.0916
10,0.026,-6.532,447,4.939,0.0905
10,0.028,-6.469,466,4.982,0.0894
10,0.03,-6.411,485,5.022,0.0884
10,0.033,-6.33,512,5.078,0.0869
10,0.035,-6.278,531,5.114,0.0859
10,0.038,-6.195,561,5.163,0.0846
10,0.04,-6.128,586,5.194,0.0837
10,0.043,-6.023,627,5.237,0.0826
10,0.045,-5.965,651,5.265,0.0818
10,0.048,-5.885,686,5.304,0.0808
10,0.05,-5.832,710,5.328,0.0802
10,0.053,-5.755,746,5.363,0.0793
10,0.055,-5.701,772,5.385,0.0788
10,0.058,-5.613,816,5.416,0.0781
10,0.06,-5.55,848,5.436,0.0776
10,0.063,-5.44,907,5.462,0.0772
10,0.064,-5.398,930,5.47,0.077
10,0.065,-5.348,957,5.478,0.077
10,0.066,-5.293,988,5.485,0.077
10,0.067,-5.23,1024,5.491,0.077
10,0.068,-5.157,1067,5.496,0.0771
10,0.069,-5.07,1120,5.499,0.0774
10,0.07,-4.965,1186,5.5,0.0779
10,0.071,-4.837,1271,5.498,0.0786
10,0.072,-4.681,1381,5.491,0.0798
10,0.073,-4.498,1518,5.479,0.0814
10,0.074,-4.308,1672,5.463,0.0835
10,0.075,-4.138,1820,5.447,0.0857
10,0.077,-3.888,2055,5.419,0.0897
10,0.078,-3.796,2147,5.408,0.0914
10,0.08,-3.646,2301,5.39,0.0945
10,0.083,-3.477,2481,5.367,0.0988
10,0.085,-3.39413,2578.635754,5.36187,0.100649
10,0.09,-3.20048,2768.917397,5.31671,0.109094
10,0.095,-3.08059,2878.657527,5.28784,0.115871
10,0.1,-2.98667,2962.715844,5.2662,0.12188
10,0.11,-2.85048,3064.29096,5.22996,0.133276
10,0.12,-2.74237,3140.870279,5.20251,0.143671
10,0.13,-2.64986,3206.195498,5.18051,0.153373
