# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = +0.00 ([Fe/H]_sun = 0.0181)
# X = 7.2881E-01   Y = 2.580E-01   Z = 1.3191E-02 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,1.00E+06,3.46502,-1.59978,0.728985,705358.0,3.59299,0.620466
0.060,1.00E+06,3.46797,-1.53037,0.728984,721654.0,3.57317,0.663019
0.065,1.00E+06,3.47079,-1.46129,0.728983,733639.0,3.55012,0.708647
0.070,1.00E+06,3.47347,-1.4026,0.728981,749110.0,3.53435,0.748873
0.075,1.00E+06,3.4759,-1.34571,0.72898,761985.0,3.51714,0.790669
0.080,1.00E+06,3.47799,-1.28683,0.72898,769460.0,3.49464,0.838027
0.085,1.00E+06,3.48009,-1.23969,0.728978,783130.0,3.48221,0.876268
0.090,1.00E+06,3.48195,-1.19136,0.728977,792842.0,3.46614,0.918508
0.095,1.00E+06,3.48376,-1.14985,0.728975,805505.0,3.45535,0.955475
0.100,1.00E+06,3.48554,-1.11417,0.728974,820783.0,3.44909,0.987391
0.110,1.00E+06,3.48856,-1.04047,0.728972,842597.0,3.42888,1.05996
0.120,1.00E+06,3.49119,-0.967593,0.72897,857309.0,3.4043,1.13887
0.130,1.00E+06,3.49405,-0.906305,0.728968,877093.0,3.3892,1.20615
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,2.00E+06,3.46522,-1.62925,0.728972,726827.0,3.62326,0.599221
0.060,2.00E+06,3.4682,-1.56682,0.728969,748889.0,3.61053,0.635102
0.065,2.00E+06,3.47106,-1.50117,0.728967,763971.0,3.5911,0.675993
0.070,2.00E+06,3.47389,-1.45224,0.728965,788037.0,3.58566,0.705915
0.075,2.00E+06,3.47654,-1.40323,0.728963,808452.0,3.57723,0.737818
0.080,2.00E+06,3.47889,-1.34217,0.728963,815196.0,3.55358,0.783046
0.085,2.00E+06,3.48148,-1.30863,0.72896,842463.0,3.55671,0.80424
0.090,2.00E+06,3.48377,-1.26736,0.72896,860231.0,3.54946,0.834498
0.095,2.00E+06,3.48613,-1.24043,0.728958,888610.0,3.55543,0.851494
0.100,2.00E+06,3.48851,-1.22649,0.728957,927675.0,3.57329,0.85583
0.110,2.00E+06,3.49232,-1.1858,0.728956,987834.0,3.58922,0.88129
0.120,2.00E+06,3.49556,-1.13729,0.728956,1033270.0,3.59146,0.918114
0.130,2.00E+06,3.49872,-1.10517,0.728956,1091540.0,3.60675,0.938927
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 3.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,3.00E+06,3.46549,-1.6818,0.728961,766824.0,3.6769,0.563332
0.060,3.00E+06,3.46855,-1.64021,0.728958,807175.0,3.68531,0.582713
0.065,3.00E+06,3.47143,-1.58929,0.728957,835771.0,3.68067,0.609758
0.070,3.00E+06,3.47429,-1.57207,0.728956,890625.0,3.70708,0.613822
0.075,3.00E+06,3.47702,-1.54881,0.728956,938479.0,3.7247,0.622607
0.080,3.00E+06,3.47977,-1.49324,0.728956,952790.0,3.70817,0.65538
0.085,3.00E+06,3.48252,-1.48854,0.728956,1015590.0,3.74081,0.650638
0.090,3.00E+06,3.48517,-1.45704,0.728956,1049220.0,3.74474,0.66648
0.095,3.00E+06,3.48757,-1.44017,0.728956,1096220.0,3.76093,0.672097
0.100,3.00E+06,3.48971,-1.4265,0.728956,1145060.0,3.77811,0.676053
0.110,3.00E+06,3.49351,-1.38002,0.728956,1213670.0,3.78822,0.700845
0.120,3.00E+06,3.49695,-1.32823,0.728956,1267090.0,3.78796,0.732227
0.130,3.00E+06,3.50002,-1.28764,0.728956,1327620.0,3.79442,0.75648
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 4.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,4.00E+06,3.46568,-1.80031,0.728956,864954.0,3.79616,0.49106
0.060,4.00E+06,3.46882,-1.78193,0.728956,933445.0,3.82813,0.494362
0.065,4.00E+06,3.47175,-1.74283,0.728956,979243.0,3.83549,0.510206
0.070,4.00E+06,3.4745,-1.72213,0.728956,1040440.0,3.85799,0.515929
0.075,4.00E+06,3.47709,-1.69255,0.728956,1089490.0,3.86874,0.527464
0.080,4.00E+06,3.47962,-1.64384,0.728956,1113300.0,3.85816,0.551441
0.085,4.00E+06,3.48215,-1.62705,0.728956,1171820.0,3.87785,0.555673
0.090,4.00E+06,3.48462,-1.59455,0.728956,1208950.0,3.88003,0.570349
0.095,4.00E+06,3.48694,-1.57176,0.728956,1255570.0,3.89,0.579287
0.100,4.00E+06,3.4891,-1.55163,0.728956,1303320.0,3.90078,0.587006
0.110,4.00E+06,3.49304,-1.50024,0.728956,1376040.0,3.90657,0.611568
0.120,4.00E+06,3.49668,-1.44685,0.728956,1436090.0,3.90549,0.639558
0.130,4.00E+06,3.49998,-1.40232,0.728956,1500620.0,3.90893,0.663044
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 5.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,5.00E+06,3.46528,-1.92275,0.728956,977158.0,3.917,0.427282
0.060,5.00E+06,3.46867,-1.89249,0.728956,1044020.0,3.93806,0.435591
0.065,5.00E+06,3.4718,-1.84971,0.728956,1093030.0,3.94258,0.451027
0.070,5.00E+06,3.47468,-1.82126,0.728956,1153520.0,3.95785,0.459893
0.075,5.00E+06,3.47736,-1.78779,0.728956,1204160.0,3.96505,0.472103
0.080,5.00E+06,3.47985,-1.74174,0.728956,1234350.0,3.957,0.492132
0.085,5.00E+06,3.48236,-1.71923,0.728956,1291920.0,3.97086,0.499242
0.090,5.00E+06,3.4847,-1.68633,0.728956,1332090.0,3.97214,0.512961
0.095,5.00E+06,3.48695,-1.66088,0.728956,1379630.0,3.97918,0.522767
0.100,5.00E+06,3.48908,-1.6378,0.728956,1427860.0,3.98688,0.531612
0.110,5.00E+06,3.49295,-1.58466,0.728956,1504920.0,3.99059,0.555181
0.120,5.00E+06,3.49655,-1.53107,0.728956,1570680.0,3.98921,0.580794
0.130,5.00E+06,3.49993,-1.48481,0.728956,1639340.0,3.99125,0.603087
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,6.00E+06,3.46479,-2.00983,0.728956,1063730.0,4.00212,0.387398
0.060,6.00E+06,3.46847,-1.97291,0.728956,1131240.0,4.01769,0.397434
0.065,6.00E+06,3.47183,-1.92782,0.728956,1183670.0,4.02083,0.412168
0.070,6.00E+06,3.4749,-1.89484,0.728956,1245020.0,4.03229,0.422121
0.075,6.00E+06,3.47771,-1.85891,0.728956,1297810.0,4.03759,0.434281
0.080,6.00E+06,3.48031,-1.81389,0.728956,1333090.0,4.031,0.451939
0.085,6.00E+06,3.48287,-1.78792,0.728956,1390980.0,4.04159,0.4602
0.090,6.00E+06,3.48522,-1.75447,0.728956,1433930.0,4.04234,0.473137
0.095,6.00E+06,3.48743,-1.72742,0.728956,1482820.0,4.04764,0.483145
0.100,6.00E+06,3.4895,-1.70272,0.728956,1532040.0,4.0535,0.492363
0.110,6.00E+06,3.49323,-1.64884,0.728956,1613220.0,4.05591,0.51496
0.120,6.00E+06,3.4967,-1.59559,0.728956,1683970.0,4.05432,0.538844
0.130,6.00E+06,3.50002,-1.54876,0.728956,1756570.0,4.05555,0.560054
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,7.00E+06,3.46431,-2.07737,0.728956,1134940.0,4.06775,0.359204
0.060,7.00E+06,3.46819,-2.03643,0.728956,1204040.0,4.0801,0.36988
0.065,7.00E+06,3.47174,-1.98983,0.728956,1259770.0,4.08247,0.383931
0.070,7.00E+06,3.47494,-1.95396,0.728956,1322620.0,4.09159,0.394264
0.075,7.00E+06,3.47787,-1.9164,0.728956,1377680.0,4.09571,0.40617
0.080,7.00E+06,3.4806,-1.87188,0.728956,1417200.0,4.09012,0.422201
0.085,7.00E+06,3.48318,-1.84371,0.728956,1476000.0,4.09862,0.430955
0.090,7.00E+06,3.48556,-1.8098,0.728956,1521500.0,4.09903,0.44324
0.095,7.00E+06,3.48777,-1.78163,0.728956,1571890.0,4.10319,0.45321
0.100,7.00E+06,3.48981,-1.7558,0.728956,1622330.0,4.10782,0.462514
0.110,7.00E+06,3.49347,-1.7013,0.728956,1707330.0,4.10933,0.484243
0.120,7.00E+06,3.49682,-1.64832,0.728956,1782440.0,4.10756,0.50681
0.130,7.00E+06,3.50004,-1.60136,0.728956,1858630.0,4.10821,0.527106
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,8.00E+06,3.4638,-2.13271,0.728956,1195630.0,4.12105,0.337825
0.060,8.00E+06,3.46784,-2.08906,0.728956,1266700.0,4.13131,0.3487
0.065,8.00E+06,3.47153,-2.04146,0.728956,1325590.0,4.13325,0.362133
0.070,8.00E+06,3.47484,-2.00359,0.728956,1390210.0,4.1408,0.372547
0.075,8.00E+06,3.47787,-1.96486,0.728956,1447580.0,4.14415,0.384139
0.080,8.00E+06,3.48069,-1.92068,0.728956,1490840.0,4.13928,0.398966
0.085,8.00E+06,3.48331,-1.89092,0.728956,1550840.0,4.14634,0.407916
0.090,8.00E+06,3.48572,-1.85663,0.728956,1598740.0,4.14654,0.41965
0.095,8.00E+06,3.48795,-1.82762,0.728956,1650710.0,4.1499,0.429483
0.100,8.00E+06,3.49,-1.8009,0.728956,1702470.0,4.15365,0.43874
0.110,8.00E+06,3.49364,-1.74579,0.728956,1791090.0,4.15452,0.459697
0.120,8.00E+06,3.49694,-1.6929,0.728956,1870110.0,4.15258,0.481208
0.130,8.00E+06,3.50005,-1.64587,0.728956,1949580.0,4.15279,0.500737
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,9.00E+06,3.46326,-2.17967,0.728956,1248550.0,4.16584,0.320846
0.060,9.00E+06,3.46744,-2.13399,0.728956,1321770.0,4.17468,0.331719
0.065,9.00E+06,3.47125,-2.08567,0.728956,1383630.0,4.17634,0.344606
0.070,9.00E+06,3.47464,-2.04636,0.728956,1450140.0,4.1828,0.354964
0.075,9.00E+06,3.47775,-2.00677,0.728956,1509770.0,4.18561,0.366235
0.080,9.00E+06,3.48065,-1.96284,0.728956,1556410.0,4.18131,0.380124
0.085,9.00E+06,3.48331,-1.93189,0.728956,1617750.0,4.18732,0.389121
0.090,9.00E+06,3.48577,-1.89729,0.728956,1667930.0,4.18736,0.400382
0.095,9.00E+06,3.48801,-1.8676,0.728956,1721500.0,4.19014,0.410038
0.100,9.00E+06,3.49008,-1.84018,0.728956,1774630.0,4.19325,0.419187
0.110,9.00E+06,3.49375,-1.78449,0.728956,1866740.0,4.19364,0.439448
0.120,9.00E+06,3.49702,-1.73155,0.728956,1949400.0,4.19158,0.460079
0.130,9.00E+06,3.50008,-1.68442,0.728956,2031930.0,4.19144,0.478947
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,1.00E+07,3.46267,-2.22064,0.728956,1295700.0,4.20444,0.306899
0.060,1.00E+07,3.46702,-2.17325,0.728956,1371130.0,4.21226,0.317673
0.065,1.00E+07,3.47093,-2.12433,0.728956,1435790.0,4.21374,0.33008
0.070,1.00E+07,3.4744,-2.08393,0.728956,1504210.0,4.2194,0.340316
0.075,1.00E+07,3.47757,-2.04371,0.728956,1566020.0,4.22182,0.351279
0.080,1.00E+07,3.48053,-1.99998,0.728956,1615680.0,4.21797,0.364414
0.085,1.00E+07,3.48323,-1.96809,0.728956,1678440.0,4.22318,0.373381
0.090,1.00E+07,3.48572,-1.93323,0.728956,1730740.0,4.22312,0.384232
0.095,1.00E+07,3.488,-1.90299,0.728956,1785880.0,4.22546,0.393698
0.100,1.00E+07,3.49009,-1.87498,0.728956,1840390.0,4.22808,0.402711
0.110,1.00E+07,3.4938,-1.81878,0.728956,1935810.0,4.22812,0.422348
0.120,1.00E+07,3.49708,-1.76572,0.728956,2021890.0,4.22597,0.442222
0.130,1.00E+07,3.5001,-1.71842,0.728956,2107310.0,4.22553,0.460509
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
