# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = -0.40 ([Fe/H]_sun = 0.0181)
# X = 7.3669E-01   Y = 2.580E-01   Z = 5.3084E-03 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,1.00E+06,3.50912,-1.45956,0.736671,725513.0,3.62918,0.595149
0.060,1.00E+06,3.50995,-1.39531,0.73666,739749.0,3.60604,0.638398
0.065,1.00E+06,3.51067,-1.33766,0.736668,754122.0,3.58602,0.679952
0.070,1.00E+06,3.5113,-1.28105,0.736664,765208.0,3.56412,0.723638
0.075,1.00E+06,3.51196,-1.23918,0.736665,784314.0,3.55484,0.757085
0.080,1.00E+06,3.51252,-1.19292,0.736664,796885.0,3.53886,0.796435
0.085,1.00E+06,3.51306,-1.14983,0.736663,809209.0,3.52424,0.834879
0.090,1.00E+06,3.51348,-1.10273,0.736663,815559.0,3.50366,0.879683
0.095,1.00E+06,3.51411,-1.07154,0.736661,833147.0,3.49847,0.909203
0.100,1.00E+06,3.51451,-1.02786,0.736661,837863.0,3.47865,0.954347
0.110,1.00E+06,3.51558,-0.958062,0.73666,857027.0,3.45453,1.02912
0.120,1.00E+06,3.51725,-0.911839,0.736656,892243.0,3.45277,1.07706
0.130,1.00E+06,3.51863,-0.845899,0.736655,903766.0,3.4271,1.15466
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,2.00E+06,3.50868,-1.51988,0.736654,769211.0,3.68771,0.556363
0.060,2.00E+06,3.50973,-1.4625,0.736652,790458.0,3.67233,0.591485
